"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,10.8011784914098,0.516,0.012,0,"12","IGHG2"
0,10.4645452936003,0.253,0,0,"12","AMPD1"
1.58429361124769e-111,10.4071206857529,0.341,0.018,4.38960230868399e-107,"12","IGLC3"
8.6719727823301e-157,10.3171121712565,0.484,0.026,2.4027434988002e-152,"12","IGHA1"
7.01327069992933e-85,10.2878185005734,0.813,0.157,1.94316691282942e-80,"12","IGKC"
0,10.1371923720741,0.692,0.014,0,"12","JCHAIN"
0,10.1069741091158,0.758,0.01,0,"12","IGLC1"
0,9.94609685746322,0.615,0.02,0,"12","IGHG4"
5.55343098641411e-246,9.49099927091416,0.681,0.033,1.53868912340576e-241,"12","IGHG3"
0,9.35842702313425,0.978,0.01,0,"12","MZB1"
0,7.79721799899593,0.703,0.003,0,"12","FCRL5"
0,7.51023361449385,0.736,0.007,0,"12","DERL3"
0,7.224647949593,0.615,0.007,0,"12","JSRP1"
0,6.40037895661751,0.341,0.004,0,"12","LINC02362"
0,6.0471589243162,0.538,0.007,0,"12","POU2AF1"
1.47228959299306e-168,5.49608485994995,0.901,0.098,4.07927277530586e-164,"12","TXNDC5"
0,8.10656081394138,0.925,0.006,0,"13","MARCO"
0,8.01363497230908,0.275,0.001,0,"13","GUCA2B"
7.06245959811347e-299,6.94240085908438,0.4,0.004,1.9567956808493e-294,"13","AC026369.3"
0,6.84507190924192,0.375,0.003,0,"13","SCEL"
2.46712555335016e-293,6.59449544077369,0.975,0.027,6.83566477066728e-289,"13","APOC1"
0,6.45385580836237,0.9,0.005,0,"13","CCL19"
2.38074179376726e-208,5.72480156842988,0.3,0.003,6.59632128799094e-204,"13","CHI3L1"
4.89100956178777e-111,5.61533645671839,0.25,0.004,1.35515201928454e-106,"13","RAB42"
1.07454218550481e-306,5.57274418139816,0.675,0.011,2.97723403337819e-302,"13","TREM2"
2.61443022287549e-134,5.41296870974466,0.275,0.004,7.24380181852111e-130,"13","MSLN"
7.50682898102985e-72,5.35535572414716,1,0.139,2.07991710577394e-67,"13","PIGR"
8.36793268369956e-205,5.15317101064538,0.45,0.008,2.31850310867264e-200,"13","CCL21"
9.00829868230314e-152,5.07475955884056,0.95,0.051,2.49592931590573e-147,"13","KRT19"
1.26372381287276e-106,4.68322873453645,0.925,0.069,3.50139956832657e-102,"13","APOC2"
1.66272022705992e-95,4.62226548136362,0.925,0.079,4.60689893311491e-91,"13","FHL1"
2.50132019521597e-72,4.43651004957366,0.3,0.01,6.9304078648849e-68,"13","ALDH1A3"
6.30247512928397e-52,4.30488690613462,0.275,0.012,1.74622678407071e-47,"13","AHNAK2"
2.81039624593109e-192,4.25621923156407,0.825,0.028,7.78676487860128e-188,"13","SLPI"
7.52587503813109e-97,4.18076286432787,0.825,0.059,2.08519419681498e-92,"13","IGFBP6"
3.87640807746832e-110,4.14311932374984,0.675,0.033,1.07403638602415e-105,"13","VSIG4"
0,13.118947296913,0.333,0,0,"14","KRT5"
0,12.101881192388,0.273,0,0,"14","SIGLECL1"
0,11.4223401857753,0.818,0.001,0,"14","SCT"
0,10.5202329838487,0.333,0,0,"14","SLC32A1"
0,10.5147114318986,0.727,0.001,0,"14","LILRA4"
0,9.90365966482971,0.545,0.001,0,"14","PTCRA"
0,9.6122268649312,0.758,0.001,0,"14","CLEC4C"
0,9.45895280551915,0.667,0.001,0,"14","LRRC26"
0,8.94266696983979,0.576,0.001,0,"14","LINC02812"
0,8.70672220858582,0.333,0,0,"14","SHD"
0,8.41585007075841,0.545,0.003,0,"14","LINC01226"
0,8.35439219654851,0.515,0.002,0,"14","MYBL2"
0,7.65158340509909,0.424,0.002,0,"14","PHEX"
0,7.18722534425212,0.606,0.004,0,"14","PLXNA4"
8.73726438862786e-318,7.1783739091842,0.333,0.002,2.42083384415712e-313,"14","SLC35F3"
0,6.99037769482144,0.515,0.003,0,"14","PACSIN1"
0,6.98339080104384,0.667,0.007,0,"14","SMPD3"
8.06319579646195e-145,6.97349927863736,0.273,0.003,2.23406965932571e-140,"14","ARPP21"
0,6.62940760087077,0.727,0.008,0,"14","NIBAN3"
0,6.59006926683786,0.576,0.005,0,"14","LAMP5"
